uri,title,identifier,external_id,record_type,note_with_search_term,note_type
/repositories/2/resources/19,Constance Stuart Larrabee collection,COR.0002.MS,['1590'],['resource'],"15983737

unprocessed holdings: 18269903",odd
/repositories/2/archival_objects/332076,"Loose material in front of binder, 02/01/1928",,['36235'],['archival_object'],"Plat showing holdings of GWU - Square 102 (Between G and H and 20th and 21st Streets), and adjacent buildings

",odd
/repositories/2/archival_objects/297607,"Plat map showing holdings of GW: Square 102, 02/01/1928",,['16408'],['archival_object'],"Framed plat map showing holdings of GW: Square 102 (between G and H streets and 20th and 21st streets, N.W.), and adjacent buildings, Feb. 1, 1928

Formerly Acc#927 

",odd
/repositories/2/archival_objects/181369,"General Ledger, 1882-1885",,['129527'],['archival_object'],"This ledger includes cash and commission accounts as well as special accounts, including holdings of bonds. Note the lettering in the headings. Identified as National Bank of Washington on basis of cover and existence of general ledger for Riggs &amp; Co. for this year.

",scopecontent
/repositories/2/archival_objects/182354,"Trust, 1892-1952",,['128256'],['archival_object'],"Consists of Washington Loan and Trust trust department account ledgers and paper files, estate files, a trust department real estate holdings ledger, and trust department and committee minutes.

",scopecontent
/repositories/2/archival_objects/287918,"Financial records, 1982-1990",,['158367'],['archival_object'],"This series contains records related to the Burns Clinic expansion, Square 250 leases/construction, 1925 F Street, 2000 Penn. Avenue taxes, and other real estate holdings. These records cover the dates 1982-90.

Formerly ACC#566.

",scopecontent
/repositories/2/archival_objects/337926,"Television News Study Center and projects, 1975 ca.-1987",,['172899'],['archival_object'],"This series contains guides, memorandums, news articles, news releases, an invitation, correspondence, and brochures. The materials range in date from approximately 1975 to 1987. They cover the holdings of the Media Resources Department, transcription projects, and the Television News Study Center. Formerly vertical files

",scopecontent
/repositories/2/archival_objects/132225,"Larry King show, 1970-ca. 1990",,['198472'],['archival_object'],10 unprocessed boxes were moved from the Larry King series to the Jim Bohanan series. This was after the existing Larry King tapes were moved and what was left in the boxes were either Jim Bohanan content or unidentified. These boxes were added to holdings 4808203 as UP boxes. The original numberes were retained.,processinfo
/repositories/2/resources/683,Mount Vernon Seminary and College,RG0135,['529'],['resource'],"This is the bib for all materials that are not assignable to an existing bib.  (this one was listed, but appears to be unrelated to MVC 3052369  jek 4/19/2012)

The bib to use for the mount vernon boxes coming from the basement of Webb Hall is 11222309  (some may be at this bib 9426641 it is a bit confusing right now)  Some of the boxes from the Webb Hall basement are attached to specific Mount Vernon collections (MVC0031, MVC0047 etc.). There is a paper record with the duplicate barcodes.

Added to this bib and holdings is the 15 boxes from donation 2015.015. But was put in a separate holdings to retain the box numbering that came with the donation since that is needed for the box lists provided by Nancy Muse. That is holdings # 16468284",odd
/repositories/2/archival_objects/132167,"Jim Bohannon show, 1993-2000",,['198452'],['archival_object'],10 unprocessed boxes were moved from the Larry King series to the Jim Bohanan series. This was after the existing Larry King tapes were moved and what was left in the boxes were either Jim Bohanan content or unidentified. These boxes were added to holdings 4808203 as UP boxes. The original numberes were retained.,scopecontent
/repositories/2/archival_objects/182483,"Real Estate Ledger, 1935-1937",,['128271'],['archival_object'],"Ledger showing the real estate held by the trust department, divided into two sections. The first section lists the real estate holdings by each trustee. For each property the following information is included: date acquired, how acquired, lots, square, premises, date sold, taxes paid, remarks, 1937 assessment, book value and sale price. The second section lists the trusts located out-of-state. Loose items in folder inside box.

",scopecontent
/repositories/2/archival_objects/263135,"Committee on Financial and Legal Affairs--meeting minutes, 11/28/1960",,['8726'],['archival_object'],"Text on folder ""Reports concerning property purchased during fiscal year 1959-60; an analysis of real estate holdings of the University; a statement of indebtedness; a statement showing relation of value of land and buildings to plant indebtedness of various colleges and universities. Resolution authorizing the purchase of property to the amount of $500,000 during fiscal year ending August 31, 1961. Resolution authorizing the Finance Committee to mortgage property to the extent of $500,000, if necessary to carry out the property acquisition program of the Buildings and Lands Committee. The meeting adjourned.""

",odd
/repositories/2/archival_objects/297941,"Newspapers, magazines, publications, 1821-2006",,['15982'],['archival_object'],"The collection in this series contains newspaper clippings, newsletters, student handbooks, programs, pamphlets, articles, journals, magazines, student newspapers, and university publications. They range in date from 1821 to 2006. This series concerns the history of GW School of Medicine.

Please note that in addition to the Foggy Bottom News issues listed here, there is an additional set (1958-2004) cataloged as part of the Special Collections Research Center's holdings, which can be found by searching the library catalog.",scopecontent
/repositories/2/archival_objects/332075,"Mechanical drawings, 1928-1959",,['36181'],['archival_object'],"This series consists of mechanical drawings of buildings (Lisner Hall, Corcoran Hall, Stockton Hall, hospital, Nurse's home, Adams Hall, Calhoun Hall, Everglades Hall, Madison Hall, medical school, President's House, Staughton Hall, Strong Hall, Student Union, Warwick Cancer Center, Welling Hall, Tin Tabernacle, etc.), University seal and flag, parking lots, and plats of GW land holdings. They range in date from 1928-1959, and were added to the University Archives collections from a backlog in 2003.

",scopecontent
/repositories/2/archival_objects/131752,"Mutual Radio Theater/Zero Hour, Circa 1973-1980",,['472298'],['archival_object'],"Box UP0001 is attached to this bib/holdings. I believe it was part of the original 12 boxes that was Zero Hour/Mutual Radio Theater series. When the Zero Hour was digitized I think these items were set aside and not processed or digitized. I am not sure why they are not better accounted for in AT. There is a box list on the J drive. J:/Special Collections/Nick Legacy/mutual_radio_theater  (although it was not done by Nick, I think he put these reels in this box during the rehousing of the Zero Hour content. I created the box list just to have although did not have a good place to save it. This note is a sad workaround). jek 4/16/2015",odd
/repositories/2/resources/13,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art archives department records",COR-0005-3-RG,['1606'],['resource'],"Since the late 1970s there has been a surge of interest in museum archives. After years of preserving the objects entrusted to their care, there was a realization that no attempt was being made to preserve the history of our
museums. As one of the oldest American museums, the Corcoran Gallery of Art joined in the early stages of this movement by creating a repository for the records which document the Gallery's history. The organization of these historic documents has benefited both staff members and scholars who are interested in the Gallery's past activities.

In 2008, due to space reduction, most of the archives' holdings had to be reboxed and were shipped to offsite storage. However, transfer of materials from the Corcoran's various departments to the archives continued until 2014.",prefercite
/repositories/2/resources/12,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art conservation department records",COR-0005-2-RG,['1571'],['resource'],"15884511

Processed holdings: 18169338 Unprocessed holdings: 18169339

",scopecontent
/repositories/2/archival_objects/3484,"School publications, 1982-",,['502850'],['archival_object'],"Contains brochures, catalogs, handbooks, leaflets, manuals, newsletters, newspapers, and portfolios (yearbooks). Below is an alphabetical listing of current holdings (see also container listing).

Alumni Publications: Bulletin 1955 Corcoran School of Art News 1976-7 The Corcoran Rag 1983-

Annual School Catalog 1908-

Faculty Manual 1982-

Special Program Brochures: Columbia Division 1968-70 Corcoran School Abroad 1968-73 Maine Workshop 1976 Open Program 1980- Saturday School 1960~ Summer School 1962- Visiting Artists 1980- Miscellaneous Special Programs 1937-

Student Art Catalogs: Aura 1970-71 Corcoran Literary Magazine no date Graphic Design Three 1982

Student Handbooks 1969/70, 1973/4, 1981-

Student Newsletters/Newspapers: Corcoran Art Journal 1892-94 Art Scene · 1968 Egg Plant 1968-69 School Newspaper 1975 Korkoran 1981 Corcoran Free Press 1981

",odd
/repositories/2/archival_objects/263139,"Committee on Financial and Legal Affairs--meeting minutes, 02/16/1959",,['8722'],['archival_object'],"Text on folder ""Discussion of securities received from the DeKnight Estate; decision to sell all bond issues except $2,000 par value Wash. Gas Light Co., to retain the preferred stock issue, the 12 common stock issues and 5 real estate note issues and to add the retained investments to the Consolidated Endowment Funds at their market value on date of receipt from the American Security &amp; Trust Co. Committee suggested that Mr. Van Devanter review all the preferred stock holdings of the University in the light of present market conditions. The Committee thought its statement of April 24, 1957, establishing a limitation of $50,000 for investment of endowment funds in any individual company should be reviewed and a new basis for a desirable limit be established. Pending adoption of a new basis, it was agreed that Investment Counsel could bring to Committee recommendations for purchase of more than $50,000 in one company if the investment seemed to merit the purchase of such an amount.""

",odd
/repositories/2/resources/188,David A. Clarke papers,MS2010,['1364'],['resource'],"bib number 2773340 

Series 1 holdings: 3195654

Series 2 holdings: Boxes 1-127 in 3495382, Boxes 129-145 in 4768627


",prefercite
/repositories/2/resources/583,University historical materials collection,RG0031,['22'],['resource'],"This collection was created in January 2005 as a way of bringing together a number of small accessions that had never been assigned to a specific record group in The George Washington University Archives. Some of these accessions represent excellent documentation of the early years of the University, both in written and visual form. These include early land holdings, 19th century newspaper accounts of the early college, Civil War records copied form the National Archives, as well as the first student newpapers. Many are surmised to have come from the office of University Historian Elmer Louis Kayser, who was associated with the University as a student and faculty member from 1914-85.

In 2016 and 2017, with the reprocessing of the Office of the President records, some series of photographs and memorabilia were moved into RG0031, and some series and boxes of records from the office of the president were moved into RG0002, resulting in the current series numbering.

Also in 2017, a significant number of artifacts of minimal research value were deaccessioned.
",accessrestrict
/repositories/2/resources/7,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art special events records",COR-0003-4-RG,['1496'],['resource'],"15884471

Series 1-10  holdings holdings: 18169303
Series 11 -17 holdings holdings: 18169304",odd
/repositories/2/resources/8,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art public programs records",COR-0003-5-RG,['1497'],['resource'],"15884476

holdings: 18169312",processinfo
/repositories/2/resources/289,James McManaway papers,MS2124,['384'],['resource'],"Dr. James G. McManaway (August 24, 1899-November 9, 1980) was an influential Shakespearean scholar.  For most of his professional life he was associated with the Folger Shakespeare Library.  From 1933 until 1943 he served as Assistant to the Director, 1943-1946 as Assistant Director and Acting Director from 1946-1948.  Finally from 1948 utnil 1968 he served as Consultant in Literature and Bibliography.  During his time with the Folger McManaway was instrumental in building the library's holdings and providing bibliographical descriptions.  McManaway served as editor of the Shakespeare Quarterly from 1951-1972. It was during McManaway's editorship that the Quarterly achieved international stature for its scholarly articles, notes and book reviews and also for additions such as the annual survey of Shakespeare in performance and an annual World Shakespeare Bibliography.

Dr. McManaway received a B.A. and M.A. from the University of Virginia in 1919 and 1920 and his Ph.D from Johns Hopkins University in 1931.

",prefercite
/repositories/2/resources/295,Glen Echo Chautauqua and Glen Echo Park Company records,MS2133,['200'],['resource'],"Glen Echo Park began in the late nineteenth century as a real estate enterprise and national Chautauqua, and subsequently grew into a major amusement park complex.

In 1888, Edward Baltzley purchased 516 acres in Montgomery County, Maryland. In 1889, he and his brother Edwin founded the E &amp; E Baltzley Realty Company and began selling the property as residential lots. In 1891, they established the National Chautauqua of Glen Echo. Glen Echo was also home to Clara Barton and the headquarters of the American Red Cross in this period. In 1903, the Baltzleys lost their holdings in a foreclosure and the property was purchased by Washington Railway and Electric Company. In 1911, Washington Railway and Electric (under the name Glen Echo Park Company) decided to run their own amusement park on the site as a way to both boost weekend railway ticket sales and use surplus electricity. The park closed in 1968, and was obtained by the National Park Service in 1971. 

",odd
/repositories/2/resources/632,Speech and Hearing Department records,RG0081,['324'],['resource'],"3059352  (attached holdings)

Display: 8606574",odd
/repositories/2/archival_objects/244977,"Research, 1924-2010",,['418475'],['archival_object'],"The Research series contains material created by or collected by the Research Division with an eye towards public policy concerning educators. The files include material from various studies, including copies of published reports and brochures, as well as draft material in preparation for reports and suggested policy positions based on research.

The series also includes material kept for research purposes, including evaluations of educators, legal analysis, departmental and organizational promotional material, records of the holdings of the library and the archives, statistics of educational expenses, transcripts of court rulings as well as administrative information on Division operations. In order to keep abreast of issues and trends among educators, questionnaires were sent to members. These and their responses are found in the papers, as well as the results of polls.

The archives were part of the Research Division, and materials related to the operations of the archives are included in this series, including policies and correspondence.

Among the papers are a memos to and/or from individuals working within the Division, such as Ray Maul and Hazel Davis. Often served as the repository for other offices and commissions within the NEA.

",arrangement
/repositories/2/resources/113,Jerome T. Barrett Collection,LAC0007,['1194'],['resource'],"Bib# 11628883
holdings for RG1: 12840077
holdings for RG2: 19397041
",processinfo
/repositories/2/resources/342,North American Conference on British Studies records,MS2187,['570'],['resource'],"8171169 (display bib)

6909772 (complete holdings--attach new boxes here)",prefercite
/repositories/2/resources/653,"Institute for European, Russian and Eurasian Studies records",RG0102,['341'],['resource'],"The primary mission of the Institute for European, Russian and Eurasian Studies (IERES, or the Institute) is to promote and support scholarly research on Europe and Eurasia. The principal disciplines involved are political science, economics and history. Cross-disciplinary work is strongly encouraged. Members of the Institute develop and participate in scholarly seminars and colloquia, publish and otherwise communicate their research to peer academics in public settings and to various branches and agencies of the U.S. government.

Scholars draw on the massive holdings of the Library of Congress and National Archives and a number of academic, governmental and private institutional collections. The George Washington University is home to the Slavic, East European and Asian Reading Room, a special collection of reference works and periodicals unequaled in other academic institutions in the area, and to the National Security Archive, the world's largest private repository of declassified government documents.

The Institute's history reflects the changes in the global arena since the early 1960's. In the aftermath of the Second World War, American colleges and universities were sadly deficient in scholars trained to conduct research on the Soviet Union, Eastern Europe, China and East Asia generally. Thus, they were also weak in their ability to educate their students and the public at large or to advise government leaders on policy toward these emerging regimes. 

The Institute for Sino-Soviet Studies was founded in 1961 to help fill these voids by promoting and supporting scholarly research, policy analysis and undergraduate and graduate-level teaching in Soviet, Central and East European and East Asian affairs. After the Cold War ended, the Institute changed its name to The Institute for European, Russian and Eurasian Studies, and the new Sigur Center for Asian Studies was established in the Elliott School for International Affairs. Today, the Institute fosters study of the dynamic regions of Europe and Eurasia, efforts to overcome the Cold War, and the continued legacies of the Cold War divisions in Europe. 

",odd
/repositories/2/resources/655,Friends of the Libraries records,RG0104,['343'],['resource'],"The primary mission of the Institute for European, Russian and Eurasian Studies (IERES, or the Institute) is to promote and support scholarly research on Europe and Eurasia. The principal disciplines involved are political science, economics and history. Cross-disciplinary work is strongly encouraged. Members of the Institute develop and participate in scholarly seminars and colloquia, publish and otherwise communicate their research to peer academics in public settings and to various branches and agencies of the U.S. government.

Scholars draw on the massive holdings of the Library of Congress and National Archives and a number of academic, governmental and private institutional collections. The George Washington University is home to the Slavic, East European and Asian Reading Room, a special collection of reference works and periodicals unequaled in other academic institutions in the area, and to the National Security Archive, the world's largest private repository of declassified government documents.

The Institute's history reflects the changes in the global arena since the early 1960's. In the aftermath of the Second World War, American colleges and universities were sadly deficient in scholars trained to conduct research on the Soviet Union, Eastern Europe, China and East Asia generally. Thus, they were also weak in their ability to educate their students and the public at large or to advise government leaders on policy toward these emerging regimes. 

The Institute for Sino-Soviet Studies was founded in 1961 to help fill these voids by promoting and supporting scholarly research, policy analysis and undergraduate and graduate-level teaching in Soviet, Central and East European and East Asian affairs. After the Cold War ended, the Institute changed its name to The Institute for European, Russian and Eurasian Studies, and the new Sigur Center for Asian Studies was established in the Elliott School for International Affairs. Today, the Institute fosters study of the dynamic regions of Europe and Eurasia, efforts to overcome the Cold War, and the continued legacies of the Cold War divisions in Europe. 

",odd
/repositories/2/resources/638,Dimock Gallery records,RG0087,['39'],['resource'],"The Dimock Gallery of The George Washington University resides in the Lisner Auditorium, built in 1941. The Dimock (named for Susan Dimock Catalini, a University benefactor) opened in 1966, and is an educational gallery which provides a professional setting for the display of art on The George Washington University campus. With the active support of Department of Fine Arts and Art History students, the Dimock Gallery's mission provides for a ""hands-on"" experience for curating and presenting their creative endeavors. Ongoing student and faculty participation provides a forum for students to curate, display, and critique their creative efforts, and creates a learning environment in which students can organize exhibitions and learn about exhibition design with the advice of faculty and curators. From time to time, exhibitions will be staged in conjunction with Lisner Auditorium performances, such as Flamenco Festivals, other international collaborations, and academic programs. 

Douglas Teller joined the faculty at GW in 1962 and retired after a long and successful teaching career in 1995. A professor of design and printmaking, he taught courses in design, serigraphy, and watercolor as well. He forged new ground for printmaking within the University and for the Washington area, serving as a member of the Board of Directors of the Society of Washington Printmakers. When John Russell Mason, University Librarian and Curator of Art, retired in 1966, a void was created. It was filled by Professor Teller, who became the Dimock Gallery's first curator (1966-69). He established the university's gallery as a showcase for the university and Washington area, augmenting the contemporary arts holdings, and acknowledging GW's cultural and educational responsibilities to its students and local artists. Teller was succeeded as Curator of Art by Evelyn Stolte (September 1969-December 1971 and September 1972-May 1973); Gail Obenreder (January-June 1972); Donald C. Kline (June 1973-June 1975); and Lenore Miller (July 1975- ).

 N.B. This history note was written in 2005

",odd
/repositories/2/resources/6,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art public relations and graphics records",COR-0003-3-RG,['1495'],['resource'],"15884468

Series 1-6 holdings: 18169299
Series 7-13 holdings: 18169300",processinfo
/repositories/2/resources/9,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art financial records",COR-0004-0-RG,['1567'],['resource'],"15884503

Processed holdings: 18169331 Unprocessed holdings: 18169332

",otherfindaid
/repositories/2/resources/3,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art directors' records",COR-0002-0-RG,['1566'],['resource'],"15884454

holdings Series 1-17 and 30: 18169283  holdings Series 18-29: 18169286

",processinfo
/repositories/2/resources/5,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art development and membership records",COR-0003-2-RG,['1491'],['resource'],"15884463

Processed holdings: 18169293
Unprocessed holdings: 18169294",prefercite
/repositories/2/resources/134,John Russell Mason papers,MS0242-UA,['58'],['resource'],"John Russell Mason (1900-1981) was associated with The George Washington University (GW) for most of his adult life, first as a student, then as the University Librarian and Curator of Art from 1933 to 1966. 

Mason was born January 1, 1900 in Philadelphia, Pennsylvania, and his family moved to Washington, D.C. when he was a young boy. He graduated from Washington's Roosevelt High School, and entered GW in 1918. Mason earned an B.A. in 1923, and an M.A. in 1925 both concentrating in English. 

Mason began working in the library while an undergraduate and was appointed Chief Assistant in 1920. He was made Assistant Librarian following his gradation, a post he held until 1929. He decided to dedicate his career to librarianship, and enrolled in the Library School of Columbia University. Before finishing at Columbia in 1933, Mason was promoted at GW from Associate Librarian to the position of Chief Librarian the same year. In 1939, the Lisner Library was constructed and during Mason's service, the library holdings increased fourfold, including the purchase of the library of the Carnegie Endowment for International Peace in 1950. 

In 1944, he was given the added responsibly of being the Curator of Art. In that capacity he arranged 176 exhibitions of works of art which ranged from the Walter P. Chrysler Collection to the annual student shows. He was instrumental in the acquisition of two full length Gilbert Stuart portraits of George Washington, a Rembrandt Peale ""porthole"" portrait, and the oil portraits of presidents of the University. 

An accomplished organist, Mason played at numerous universality convocations and commencements for over thirty-five years. He also played for a number of Washington churches, among them Central Presbyterian Church from 1926 to 1944 as the organist. In 1951, the University honored him with an alumni achievement award, and in 1965 he was confirmed the status of Librarian and Curator of Art Emeritus. He retired officially a year later. 

He was a member of the American Library Association, the Library Association of Great Britain, the District of Columbia Library Association (serving as President from 1942 to 1944), the Special Libraries Association, the American Guild of Organists, Theta Delta Chi, the Cosmos Club, and the Arts Club of Washington. In 1974, the Friends of the Libraries dedicated the John Russell Mason Room in the University Library (named Gelman Library in 1980). 

He continued his life of bachelorhood at his long residence in the Arts Club of Washington until his death. John Russell Mason died February 28, 1981 in Washington, D.C. In 1983, Mason's will provided for the establishment of a $220,000 permanent endowment for the purchase of books for the Gelman Library, known as the John Russell Mason Book Fund.

 N.B. This history note was written in 2005

",odd
/repositories/2/resources/135,Frederick Gutheim papers,MS0244-UA,['59'],['resource'],"John Russell Mason (1900-1981) was associated with The George Washington University (GW) for most of his adult life, first as a student, then as the University Librarian and Curator of Art from 1933 to 1966. 

Mason was born January 1, 1900 in Philadelphia, Pennsylvania, and his family moved to Washington, D.C. when he was a young boy. He graduated from Washington's Roosevelt High School, and entered GW in 1918. Mason earned an B.A. in 1923, and an M.A. in 1925 both concentrating in English. 

Mason began working in the library while an undergraduate and was appointed Chief Assistant in 1920. He was made Assistant Librarian following his gradation, a post he held until 1929. He decided to dedicate his career to librarianship, and enrolled in the Library School of Columbia University. Before finishing at Columbia in 1933, Mason was promoted at GW from Associate Librarian to the position of Chief Librarian the same year. In 1939, the Lisner Library was constructed and during Mason's service, the library holdings increased fourfold, including the purchase of the library of the Carnegie Endowment for International Peace in 1950. 

In 1944, he was given the added responsibly of being the Curator of Art. In that capacity he arranged 176 exhibitions of works of art which ranged from the Walter P. Chrysler Collection to the annual student shows. He was instrumental in the acquisition of two full length Gilbert Stuart portraits of George Washington, a Rembrandt Peale ""porthole"" portrait, and the oil portraits of presidents of the University. 

An accomplished organist, Mason played at numerous universality convocations and commencements for over thirty-five years. He also played for a number of Washington churches, among them Central Presbyterian Church from 1926 to 1944 as the organist. In 1951, the University honored him with an alumni achievement award, and in 1965 he was confirmed the status of Librarian and Curator of Art Emeritus. He retired officially a year later. 

He was a member of the American Library Association, the Library Association of Great Britain, the District of Columbia Library Association (serving as President from 1942 to 1944), the Special Libraries Association, the American Guild of Organists, Theta Delta Chi, the Cosmos Club, and the Arts Club of Washington. In 1974, the Friends of the Libraries dedicated the John Russell Mason Room in the University Library (named Gelman Library in 1980). 

He continued his life of bachelorhood at his long residence in the Arts Club of Washington until his death. John Russell Mason died February 28, 1981 in Washington, D.C. In 1983, Mason's will provided for the establishment of a $220,000 permanent endowment for the purchase of books for the Gelman Library, known as the John Russell Mason Book Fund.

 N.B. This history note was written in 2005

",accessrestrict
/repositories/2/resources/11,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran Gallery of Art registrar's office records",COR-0005-1-RG,['1569'],['resource'],"15884510

Processed holdings: 18169336 Unprocessed holdings: 18169337

",processinfo
/repositories/2/resources/18,"Corcoran Gallery of Art and Corcoran College of Art + Design, Corcoran School of Art + Design records",COR-0009-0-RG,['1578'],['resource'],"15884697

Processed holdings: 18169508 Unprocessed holdings: 18169509

",prefercite
